mdtJ,gcvB
mdtI,gcvB
ydeA,gcvB
ydeK,gcvB
ydeT,gcvB
ddpA,gcvB
ddpC,gcvB
ddpD,gcvB
rhsE,gcvB
yncD,gcvB
ydcL,gcvB
trg,gcvB
ynbB,gcvB
paaJ,gcvB
paaH,gcvB
paaG,gcvB
paaF,gcvB
paaD,gcvB
paaA,gcvB
ycjG,gcvB
sapB,gcvB
fabI,gcvB
osmB,gcvB
cls,gcvB
oppD,gcvB
oppB,gcvB
oppA,gcvB
galU,gcvB
rssA,gcvB
kdsA,gcvB
lolB,gcvB
ispE,gcvB
treA,gcvB
ldcA,gcvB
minD,gcvB
lolC,gcvB
ycfL,gcvB
yceG,gcvB
pabC,gcvB
fabH,gcvB
plsX,gcvB
flgA,gcvB
mdtH,gcvB
yceK,gcvB
mdoH,gcvB
mdoC,gcvB
csgE,gcvB
csgF,gcvB
csgG,gcvB
ycdS,gcvB
torD,gcvB
ymcA,gcvB
yccS,gcvB
ompA,gcvB
fabA,gcvB
rmf,gcvB
mukB,gcvB
ycbC,gcvB
kdsB,gcvB
ycaD,gcvB
lolA,gcvB
ftsK,gcvB
macA,gcvB
ybjG,gcvB
dacC,gcvB
ybiV,gcvB
ybiR,gcvB
ompX,gcvB
fiu,gcvB
cydB,gcvB
ybgQ,gcvB
ybfO,gcvB
ybfN,gcvB
ubiF,gcvB
mrdA,gcvB
rlpA,gcvB
dacA,gcvB
tatE,gcvB
crcA,gcvB
entC,gcvB
fepC,gcvB
fepE,gcvB
entF,gcvB
ompT,gcvB
ybbY,gcvB
ylbH,gcvB
acrA,gcvB
ybaY,gcvB
mdlB,gcvB
mdlA,gcvB
ppiD,gcvB
ampG,gcvB
yajR,gcvB
panE,gcvB
ispA,gcvB
dxs,gcvB
pgpA,gcvB
yajC,gcvB
ddlA,gcvB
yahF,gcvB
yagG,gcvB
yafL,gcvB
yaeF,gcvB
rof,gcvB
lpxD,gcvB
yaeT,gcvB
ispU,gcvB
dxr,gcvB
btuF,gcvB
fhuD,gcvB
fhuC,gcvB
fhuA,gcvB
mrcB,gcvB
panD,gcvB
yadE,gcvB
hofC,gcvB
lpxC,gcvB
ftsZ,gcvB
murD,gcvB
mraY,gcvB
murF,gcvB
murE,gcvB
imp,gcvB
yaaU,gcvB
caiT,gcvB
